disease_name,scenario_label,crop_stage,weather_condition,water_condition,recommendation_type,recommendation_text,key_context_keywords
brown_spot,ආර්ද්‍ර කාලගුණය යටතේ ප්‍රධාන ක්ෂේත්‍රයේ දැඩි කොළ දූෂණය,vegetative,rainy_humid,flooded,chemical_biological,"ආර්ද්‍ර සහ ජල නිකාසය දුර්වල ක්ෂේත්‍රයක දම් ලප දැඩි ලෙස පැතිරී තිබේ නම් සහ වගාවට ප්‍රතිචාර දීමට තව කාලය තිබේ නම්, දේශීය ලේබල් අනුව සීමිත ෆංගිසයිඩ් කොළ සෙව්වක් සහය ලෙස භාවිතා කළ හැක. එය පෝෂණය සහ ජල ආතතිය නිවැරදි කිරීම සමඟ එකතු කළ යුතුය.","දැඩි ලප;විහිදීම;ෆංගිසයිඩ්;තෙත් ක්ෂේත්‍රය"
brown_spot,සාමාන්‍ය ජල සැපයුම යටතේ මධ්‍යම දම් ලප,vegetative,normal,flooded,cultural,"සාමාන්‍ය ජල සැපයුම සහිත ක්ෂේත්‍රවල මධ්‍යම මට්ටමේ දම් ලප පවතින විට, ක්ෂේත්‍ර පිරිසිදුභාවය සහ වගා ශක්තිය වැඩිදියුණු කිරීම අවධාරණය කරන්න: හොඳ මට්ටම් කිරීම, ස්වයං වගා බත් සහ කොළ ඉවත් කිරීම, දිගු කාලයක් shallo ජලය රැඳී නොසිටින ලෙස කළමනාකරණය කරන්න.","සාමාන්‍ය ජලය;මට්ටම් කිරීම;කොළ;ස්වයං වගා බත්"
brown_spot,ධාන්‍ය පිරවීමේ අවස්ථාවේ දම් ලප,reproductive,normal,any,monitoring,"ධාන්‍ය පිරවීමේ අවස්ථාවේ හෝ කප්පාදු ආසන්නයේ දම් ලප පෙනේ නම්, අතිරේක ෆංගිසයිඩ් සෙව්වල ආර්ථික ප්‍රතිලාභ අඩුය. ධාන්‍ය පිරවීමට සහාය වීමට පෝෂණය සහ ජල කළමනාකරණය අවධාරණය කර, ඉදිරි කාලය සඳහා වඩා හොඳ බීජ සහ පෝෂණ කළමනාකරණය සැලසුම් කරන්න.","ධාන්‍ය පිරවීම;කප්පාදු ආසන්නය;දම් ලප;නිරීක්ෂණය"
brown_spot,දුර්වල පෝෂණය සහිත පසවල ආර්ද්‍ර කාලගුණය,general,rainy_humid,any,nutrient_water,"දුර්වල පෝෂණය සහිත පසවල ආර්ද්‍ර කාලගුණය යටතේ දම් ලප නැවත නැවත පෙනේ නම්, පස පරීක්ෂණ සමාලෝචනය කර නයිට්‍රජන්, පොටෑසියම් සහ අවශ්‍ය නම් සිලිකන් හෝ සජීව සංශෝධන නිර්දේශිත අනුපාතවල යෙදවන්න.","පෝෂණ අඩු;ආර්ද්‍ර;නැවත නැවත;පස සෞඛ්‍යය"

hispa,මුල් මඩුව හෝ තරුණ වගාවෙහි ආසාදනය,nursery,any,any,cultural,"මඩුවල හෝ ඉතා තරුණ වගාවන්හි, දැඩි ලෙස සීරුණු හෝ මයින් වූ කොළ කපා විනාශ කරන්න, එමඟින් බීජ හා ලාර්වා භෞතිකව ඉවත් කළ හැක. ඝන වපුරීමෙන් වළකින්න සහ පාරිසරික කොළ රහිත බැඳුම් හා මායිම් පවත්වා ගන්න.","මඩුව;තරුණ පැළ;කප්පාදු;කොළ මයිනින්ග්;ඝන මඩුව"
hispa,සාමාන්‍ය කාලගුණය යටතේ වැඩි වැඩි hispa වැඩි වගාව,vegetative,normal,any,nutrient_water,"නයිට්‍රජන් අධිකව යෙදවීමෙන් වගාව ඉතා දළ වී hispa වැඩි නම්, අතිරේක නයිට්‍රජන් නවතා ජලය සහ කොළ හොඳින් කළමනාකරණය කරන්න. මෙය ඉතා මෘදු කොළ සහ විකල්ප ආහාර සත්කාරක අඩු කරයි.","දළ වගාව;යූරියා වැඩි;කොළ සහිත බැඳුම්"
hispa,ආර්ද්‍ර කාලගුණය යටතේ විශාල ප්‍රදේශවල දැඩි ආසාදනය,vegetative,rainy_humid,any,chemical_biological,"ආර්ද්‍ර කාලගුණය යටතේ කොළ සීරීම සහ මයිනින්ග් විශාල ප්‍රදේශවල පැතිරී ආර්ථික හානි සිදුවීමට ඉඩ ඇති නම්, දේශීයව නිර්දේශිත තෝරාගත් කීට නාශකයක් හෝ නීම් පදනම් වූ නිෂ්පාදනයක් කාලෝචිතව සහ සමානව යෙදවන්න.","බොහෝ කොළ සීරුණු;විශාල ප්‍රදේශ;දැඩි හානි;කීට නාශක"
hispa,වියළි කාලය තුළ ආතතියට පත් වගාව සහ hispa හානි,vegetative,dry_drought,dry,cultural,"වියළි කාලවල වගාව දැනටමත් ආතතියට පත් වී hispa සීරීම පෙනේ නම්, හැකි පමණින් ජලය හෝ ආර්ද්‍රතාව සුරක්ෂිත කරන්න සහ ක්ෂේත්‍ර මායිම්වල දැඩි ලෙස සීරුණු කොළ ඉවත් කරන්න.","වියළි වගාව;ජල ආතතිය;වියළි කාලය"
hispa,කප්පාදු ආසන්නයේ පසුකාලීන hispa,reproductive,any,any,monitoring,"hispa හානි බහුතරයක් කප්පාදු ආසන්නයේ පෙනේ නම්, අතිරේක කීට නාශක යෙදවීම සාමාන්‍යයෙන් ආර්ථික නොවේ. කාලෝචිත කප්පාදු සිදු කර ඉදිරි කාලය සඳහා මුල් අවස්ථා වැළැක්වීමේ ක්‍රියාමාර්ග ශක්තිමත් කරන්න.","කප්පාදු ආසන්නය;පසුකාලය;ආර්ථික නොවේ"
hispa,අඩු සිට මධ්‍යම ආසාදනවල නිරීක්ෂණ සහ IPM,general,any,any,monitoring,"hispa සීරීම අඩු හෝ මධ්‍යම මට්ටමේ පවතින විට, කොළ නියමිත ලෙස නිරීක්ෂණය කර හානි සහ වැඩිහිටි ගණන නිරීක්ෂණය කරන්න. අනවශ්‍ය කීට නාශක භාවිතයෙන් වැළකී ස්වභාවික සතුරන් රැක ගන්න.","අඩු ආසාදනය;නිරීක්ෂණය;ස්වභාවික සතුරන්;IPM"

dead_heart,වගා කිරීමට පෙර stem borer වැළැක්වීම,general,any,any,cultural,"කප්පාදු පසු, stubble සහ ratoon පැළ ඉවත් කිරීම හෝ පසට ඇතුළත් කිරීම මඟින් stem borer ඉතිරිවීම විනාශ කරන්න. අසල්වැසි ගොවීන් සමඟ සමකාලීන වගා සැලසුම් කර, අතිශය පමා වගා කිරීමෙන් වළකින්න.","stubble;ratoon;භූමිය සකස් කිරීම;වගා කිරීමට පෙර"
dead_heart,මඩුවේ බීජ හෝ මුල් වගාවේ බීජ ගුච්ඡ වැඩි වීම,nursery,rainy_humid,flooded,monitoring,"මඩුවල stem borer බීජ ගුච්ඡ නිතර පෙනේ නම්, බීජ පැළ ටිපි කපා විනාශ කරන්න. මඩුව අඛණ්ඩව ජලයෙන් තබා නොසිටින්න සහ ආලෝක හෝ ෆෙරමෝන් ප traps භාවිතා කර moth ගමන් නිරීක්ෂණය කරන්න.","බීජ ගුච්ඡ;මඩුව;කප්පාදු;ආලෝක ප traps"
dead_heart,වර්ධන අවස්ථාවේ සීමාවට අඩු dead heart,vegetative,normal,flooded,monitoring,"වෙන්ව වෙන්ව dead heart පෙනෙන විට, ආසාදිත tiller හෝ පැළ ප්‍රතිශතය සටහන් කරන්න. දේශීය සීමාවට වඩා අඩු නම්, කීට නාශක භාවිතය ඉක්මනින් නොකර ශක්තිමත් වගා කළමනාකරණයට අවධානය යොමු කරන්න.","අඩු dead heart;අඩු ප්‍රතිශතය;නිරීක්ෂණය"
dead_heart,සීමාව ඉක්මවා dead heart හෝ whitehead,vegetative,any,any,chemical_biological,"dead heart හෝ whitehead ප්‍රමාණය ආර්ථික සීමාව ඉක්මවා තිබේ නම් සහ සංස්කෘතික/ජෛවික ක්‍රියාමාර්ග ප්‍රමාණවත් නොවේ නම්, දේශීයව නිර්දේශිත stem borer කීට නාශකය නිසි වර්ධන අවස්ථාවේ යෙදවන්න.","බොහෝ dead heart;whitehead;සීමාව ඉක්මවා"
dead_heart,කප්පාදු ආසන්නයේ whitehead,reproductive,any,any,monitoring,"whitehead බහුතරයක් කප්පාදු ආසන්නයේ පෙනේ නම්, අතිරේක කීට නාශක ආර්ථික නොවේ. කාලෝචිත කප්පාදු කර ඉදිරි කාලය සඳහා වැළැක්වීම ශක්තිමත් කරන්න.","whitehead;කප්පාදු ආසන්නය;පසුකාලය"

tungro,ටන්ග්රෝ ප්‍රදේශවල මූලික වැළැක්වීම,general,any,any,variety_seed,"ටන්ග්රෝ ප්‍රදේශවල, ටන්ග්රෝට ප්‍රතිරෝධී හෝ ඉවසිලියක් ඇති වර්ග වගා කරන්න සහ අතිශය සංවේදී වර්ග වලින් වළකින්න. සෞඛ්‍ය සම්පූර්ණ ක්ෂේත්‍රවලින් ලැබුණු පිරිසිදු බීජ භාවිතා කරන්න.","ටන්ග්රෝ ප්‍රදේශ;ප්‍රතිරෝධී වර්ග;පිරිසිදු බීජ"
tungro,මඩුව හෝ මුල් වගාවේ ලීෆ්හොපර් පීඩනය වැඩි,nursery,rainy_humid,any,chemical_biological,"මඩුව හෝ මුල් tillering අවස්ථාවේ green leafhopper ගණන වැඩි බව නිරීක්ෂණයෙන් පෙනේ නම්, දේශීයව නිර්දේශිත කීට නාශක භාවිතා කර වාහක පාලනය සිදු කරන්න. මුල් කහ, කුඩා පැළ ඉවත් කිරීමත් සමඟ මෙය එක් කරන්න.","ලීෆ්හොපර් වැඩි;මුල් කාලය;වාහක පාලනය"
tungro,ක්ෂේත්‍රය තුළ දැනටමත් පවතින ටන්ග්රෝ පැච්,vegetative,any,any,cultural,"ටන්ග්රෝ පැච් දැනටමත් පවතින විට, ආසාදිත පැළ ඉක්මනින් ඉවත් කර විනාශ කරන්න සහ හැකි නම් වගා අතර rice-free කාලයක් පවත්වා ගන්න.","කහ පැච්;කුඩා පැළ;ඉවත් කිරීම"
tungro,සැකසහිත පැළ කිහිපයක් පමණක් පවතින අවස්ථාව,vegetative,normal,any,monitoring,"ටන්ග්රෝ ප්‍රදේශවල වර්ධන අවස්ථාවේ සැකසහිත පැළ කිහිපයක් පමණක් පෙනේ නම්, ලීෆ්හොපර් ගණන නිරීක්ෂණය කර කහ, කුඩා පැළ මුල් අවස්ථාවේ ඉවත් කරන්න.","සැකසහිත පැළ;නිරීක්ෂණය;ලීෆ්හොපර්"
tungro,වගා අතර rice-free කාලයක් සැලසුම් කිරීම,general,dry_drought,any,cultural,"ටන්ග්රෝ නැවත නැවත ඇති ප්‍රදේශවල, හැකි තරම් විශාල ප්‍රදේශයක් ආවරණය වන ලෙස වගා අතර rice-free හෝ low-rice කාලයක් සැලසුම් කර, ස්වයං වගා බත් සහ විකල්ප සත්කාරක ඉවත් කරන්න.","rice-free කාලය;fallow;ස්වයං වගා බත්"

normal,සුව බත් වගාව – එය එසේම තබා ගන්න,general,any,any,ipm,"සුව වගාවක් සඳහා, නිර්දේශිත වර්ග, සහතික කළ බීජ, හොඳ මට්ටම් කිරීම, සම්මත පොෂණය, කාලෝචිත ජල සැපයුම සහ නිරන්තර ක්ෂේත්‍ර නිරීක්ෂණය පවත්වා ගන්න.","සුව වගාව;රෝග නැත;වැළැක්වීම"
normal,වැසි හෝ ගංවතුර පසු නමුත් රෝග නැති අවස්ථාව,general,rainy_humid,flooded,cultural,"ක්ෂේත්‍රය ජලයෙන් පිරි තිබුණත් කොළ සුව පවතින්නේ නම්, හැකි ඉක්මනින් අතිරේක ජලය ඉවත් කර, බැඳුම් සහ නාලිකා අලුත්වැඩියා කරන්න. පස ව්‍යුහය සුවපත් වූ පසු සාමාන්‍ය ජල සැපයුමට ආපසු යන්න.","ජලයෙන් පිරි ක්ෂේත්‍රය;වැසි වැඩි;ජල නිකාසය"
normal,වියළි කාලයකදී සුව නමුත් ආතතියට පත් වගාව,general,dry_drought,dry,cultural,"දිගු වියළි කාලවල පස ප裂 වුවද පැළ සුව පවතින්නේ නම්, ආර්ද්‍රතාව සුරක්ෂිත කිරීමට අවධානය යොමු කර, වැසි ආපසු එන විට පැළ දුර්වල වන ලෙස අධික නයිට්‍රජන් යෙදවීමෙන් වළකින්න.","වියළි කාලය;පස ප裂;ආර්ද්‍රතා සුරක්ෂිත කිරීම"
normal,කාබනික හෝ අඩු රසායන භාවිතා කරන ගොවියා,general,any,any,ipm,"රසායන භාවිතය අවම කිරීමට උත්සාහ කරන ගොවීන් සඳහා, ප්‍රතිරෝධී වර්ග, හැකි නම් වගා මාරුව, නිරන්තර නිරීක්ෂණය, ස්වභාවික සතුරන් රැකගැනීම සහ කාලෝචිත සංස්කෘතික ක්‍රියාමාර්ග අවධාරණය කරන්න.","කාබනික;අඩු රසායන;ස්වභාවික සතුරන්;වැළැක්වීම"
